	PLAYER	2018/19 	2018/19(*)
407.	Frank Mason	$1,378,242	$1,400,962
407.	Khem Birch	$1,378,242	$1,400,962
407.	Wesley Iwundu	$1,378,242	$1,400,962
407.	Abdel Nader	$1,378,242	$1,400,962
407.	Damyean Dotson	$1,378,242	$1,400,962
407.	Frank Jackson	$1,378,242	$1,400,962
407.	Sterling Brown	$1,378,242	$1,400,962
407.	Tyler Dorsey	$1,378,242	$1,400,962
407.	Dakari Johnson	$1,378,242	$1,400,962
407.	Ivan Rabb	$1,378,242	$1,400,962
407.	Dillon Brooks	$1,378,242	$1,400,962
407.	Rade Zagorac	$1,378,242	$1,400,962
407.	Sindarius Thornwell	$1,378,242	$1,400,962
407.	Zhou Qi	$1,378,242	$1,400,962
407.	Jordan Bell	$1,378,242	$1,400,962
407.	Maxi Kleber	$1,378,242	$1,400,962
407.	Dwayne Bacon	$1,378,242	$1,400,962
407.	Daniel Theis	$1,378,242	$1,400,962
407.	Semi Ojeleye	$1,378,242	$1,400,962
428.	Tyrone Wallace	$1,349,383	$1,371,627
428.	Ike Anigbogu	$1,349,383	$1,371,627
428.	Alfonzo McKinnie	$1,349,383	$1,371,627
428.	Monte Morris	$1,349,383	$1,371,627
428.	Ryan Arcidiacono	$1,349,383	$1,371,627
428.	Antonio Blakeney	$1,349,383	$1,371,627
428.	Jabari Bird	$1,349,383	$1,371,627
428.	Daniel Hamilton	$1,349,383	$1,371,627
436.	Shaquille Harrison	$1,325,531	$1,347,381
437.	Elie Okobo	$1,238,464	$1,258,879
438.	Jalen Brunson	$1,230,000	$1,250,276
439.	Melvin Frazier	$1,050,000	$1,067,309
440.	Raymond Spalding	$1,023,210	$1,040,076
441.	Justin Hamilton	$1,000,000	$1,016,484
441.	Isaac Bonga	$1,000,000	$1,016,484
443.	Devonte Graham	$988,464	$1,004,758
444.	Chasson Randle	$975,824	$991,910
445.	Patrick McCaw	$964,104	$979,996
446.	De'Anthony Melton	$949,000	$964,644
447.	Jason Thompson	$893,333	$908,059
448.	Chimezie Metu	$838,464	$852,285
448.	Gary Trent Jr	$838,464	$852,285
448.	Isaiah Briscoe	$838,464	$852,285
448.	Hamidou Diallo	$838,464	$852,285
448.	Kenrich Williams	$838,464	$852,285
448.	Keita Bates-Diop	$838,464	$852,285
448.	Jevon Carter	$838,464	$852,285
448.	Alize Johnson	$838,464	$852,285
448.	Isaiah Hartenstein	$838,464	$852,285
448.	Khyri Thomas	$838,464	$852,285
448.	Bruce Brown	$838,464	$852,285
448.	Jarred Vanderbilt	$838,464	$852,285
